Date,SPY_adj_close,SPY return,DIA_adj_close,DIA return,QQQ_adj_close,QQQ return,crude_oil,CPI,Fed Fund Rate,crude_oil_europe,natural_gas,crude_oil_europe_return,natural_gas_return,BTC-USD,^VIX,VXUS,VXUS_return,usd_index
2011-08-12,92.5040181591025,0.006733145828006215,84.8084407147586,0.013932584269662485,47.4404301616614,0.008851224105462574,85.19,226.545,0.1,108.17,4.17,0.0032461509923948917,0.027093596059113434,,36.36000061035156,30.239938735961914,0.009585191256802794,74.61000061035156
2011-08-15,94.4618580287077,0.021164917033526187,86.3196549508992,0.01781914893616965,48.1400370279618,0.014747059921597971,87.88,226.545,0.1,108.89,4.05,0.00665618933160772,-0.02877697841726623,,31.8700008392334,30.961042404174805,0.02384606908463538,73.83999633789062
2011-08-16,93.6552280024303,-0.008539214060687361,85.7708059994651,-0.006358331155822072,47.7326710045464,-0.008462104488594191,86.65,226.545,0.09,109.69,4.03,0.0073468638075120385,-0.004938271604938205,,32.849998474121094,30.613849639892578,-0.011213859008681548,74.01000213623047
2011-08-17,93.7178788782577,0.0006689522535332504,85.9061386176269,0.0015778401122013008,47.4492859447791,-0.005936920222635478,87.58,226.545,0.09,111.37,3.98,0.015315890236120122,-0.012406947890818976,,31.579999923706055,30.680618286132812,0.002180994779344303,73.66999816894531
2011-08-18,89.6768973873928,-0.043118576084230975,82.7558960059706,-0.036670750918955886,45.120214984817,-0.04908547965658849,82.38,226.545,0.09,108.36,3.98,-0.027027027027027084,0.0,,42.66999816894531,29.31851577758789,-0.0443961883636671,74.23999786376953
2011-08-19,88.2124331649281,-0.016330451488953734,81.4469213307152,-0.015817298083038778,44.3054829379862,-0.018056918547594614,82.33,226.545,0.09,109.37,3.99,0.009320782576596631,0.002512562814070307,,43.04999923706055,28.851144790649414,-0.015941154405085922,73.98999786376953
2011-08-22,88.2829154002339,0.0007990056818183433,81.7412805126166,0.003614122880178039,44.4648870341052,0.003597841295221116,84.42,226.545,0.09,108.83,3.97,-0.004937368565420153,-0.005012531328320802,,42.439998626708984,29.011369705200195,0.005553502840646818,74.06999969482422
2011-08-23,91.1883497667279,0.03291049410094926,84.0584156111737,0.02834718374884604,46.2980341394746,0.04122684724158532,85.35,226.545,0.08,110.35,4.01,0.013966737112928396,0.010075566750629594,,36.27000045776367,29.866031646728516,0.029459551555579333,73.87000274658203
2011-08-24,92.4726927211889,0.014084507042254168,85.2509476814409,0.014186944419503078,46.6611212473014,0.007842387146136387,84.99,226.545,0.08,111.91,4.1,0.014136837335749997,0.02244389027431426,,35.900001525878906,29.832645416259766,-0.001117866305897608,74.01000213623047
2011-08-25,91.0630480150732,-0.015243902439024515,83.9753912265349,-0.014962372731296858,45.8995238991769,-0.01632188271019208,85.15,226.545,0.08,111.91,4.01,0.0,-0.02195121951219514,,39.7599983215332,29.231718063354492,-0.020143280775822503,74.27999877929688
2011-08-26,92.3865477669262,0.014533883728929498,85.0622558981708,0.012942656839834754,47.0507757044814,0.02508199884237028,85.37,226.545,0.09,112.29,3.96,0.00339558573853993,-0.012468827930174564,,35.59000015258789,29.632343292236328,0.013705155065246277,73.80999755859375
2011-08-29,95.0413786301108,0.028736119352378298,86.9038877028871,0.02165039929014978,48.3614316059049,0.027856201769244304,87.27,226.545,0.09,,3.93,0.0,-0.007575757575757569,,32.279998779296875,30.34676170349121,0.02410941329240268,73.72000122070312
2011-08-30,95.2919821334202,0.002636783124587483,87.062388800834,0.0018238665971859191,48.6802397981431,0.006592199230911033,88.9,226.545,0.08,115.59,3.85,0.029388191290408816,-0.020356234096692183,,32.88999938964844,30.406869888305664,0.001980711662145529,73.94000244140625
2011-08-31,95.7148755452549,0.004437869822485174,87.5152490806823,0.005201560468140576,48.7599418462026,0.0016372566854641057,88.81,226.545,0.08,116.48,3.97,0.007699627995501279,0.03116883116883118,,31.6200008392334,30.81415557861328,0.013394528664203431,74.12999725341797
2011-09-01,94.7124615320171,-0.010472917689412276,86.7001005769554,-0.009314359637774494,48.3171526903163,-0.009081002542680183,88.93,226.889,0.08,116.43,4.18,-0.0004292582417582125,0.052896725440805925,,31.81999969482422,30.613849639892578,-0.006500451982520916,74.4800033569336
2011-09-02,92.2925714531852,-0.02554985943443,84.745253702277,-0.02254722730042602,47.1836124512473,-0.02346041055718462,86.45,226.889,0.08,115.92,4.12,-0.004380314351971171,-0.014354066985645786,,33.91999816894531,29.84600830078125,-0.025081502265914435,74.75
2011-09-06,91.619074538041,-0.007297411964361844,83.9376528698808,-0.009529747060920135,47.192468234365,0.00018768768768717692,85.99,226.889,0.09,113.29,3.93,-0.02268806073153895,-0.04611650485436891,,37.0,28.99802589416504,-0.028411920216279474,75.91999816894531
2011-09-07,94.2034231659198,0.028207539105906898,85.9981671431906,0.024548152144592272,48.3879989552581,0.025333083130043343,89.34,226.889,0.09,117.5,3.96,0.03716126754347249,0.007633587786259444,,33.380001068115234,29.966184616088867,0.03338705625884142,75.45999908447266
2011-09-08,93.2245032311172,-0.010391553745116466,85.1905663107944,-0.009390907495173906,48.166604377315,-0.004575402635430659,89.05,226.889,0.09,117.99,3.99,0.004170212765957304,0.007575757575757569,,34.31999969482422,29.405323028564453,-0.018716483086181346,76.23999786376953
2011-09-09,90.78111907385,-0.026209677419355093,82.8885265548989,-0.027022237972889274,47.09505462007,-0.02224673653245235,87.24,226.889,0.09,115.1,3.96,-0.0244936011526401,-0.007518796992481258,,38.52000045776367,28.45052146911621,-0.032470364584015754,77.19000244140625
2011-09-12,91.3684710347316,0.006469979296066963,83.4093158767245,0.0062830085594618446,47.6972478720755,0.012786761940581037,88.19,226.889,0.09,114.75,3.92,-0.003040834057341346,-0.010101010101010055,,38.59000015258789,28.223493576049805,-0.0079797445299149,77.56999969482422
2011-09-13,92.2064264989226,0.009171166538098907,83.7187704012875,0.003710071486743294,48.3348642565518,0.01336799108800557,90.21,226.889,0.09,114.08,3.96,-0.005838779956427009,0.010204081632652962,,36.90999984741211,28.497264862060547,0.009700120407597712,76.91000366210938
2011-09-14,93.4829380939051,0.01384406319007958,84.8358257582466,0.013342949873782706,49.0256153397344,0.014290949065590253,88.91,226.889,0.08,113.1,4.01,-0.00859046283309961,0.012626262626262541,,34.599998474121094,28.71759796142578,0.0077317279546562645,76.83000183105469
2011-09-15,95.0961981464597,0.017257267320097025,86.2396926257763,0.016548042704626287,49.751789555388,0.014812138728324209,89.4,226.889,0.09,116.71,4.04,0.03191865605658717,0.007481296758104827,,31.969999313354492,29.271778106689453,0.019297580041619744,76.23999786376953
2011-09-16,95.6561046851557,0.005887790990694253,86.8508020924932,0.007086173989148126,50.2072779042652,0.009155215379139436,87.96,226.889,0.09,116.26,3.84,-0.003855710736012208,-0.04950495049504955,,30.979999542236328,29.198326110839844,-0.002509311036107631,76.58000183105469
2011-09-19,94.7036368883401,-0.009957208689927,85.9887969176243,-0.00992512624064068,50.2250221268855,0.0003534193320366974,85.7,226.889,0.09,112.89,3.78,-0.02898675382762772,-0.015625,,32.72999954223633,28.537315368652344,-0.02263865194457504,77.38999938964844
2011-09-20,94.5934340027581,-0.0011636605435959568,86.109780100062,0.0014069644741465659,50.0032193441312,-0.004416180886768872,86.92,226.889,0.09,114.39,3.84,0.01328727079457881,0.015873015873015817,,32.86000061035156,28.597414016723633,0.0021059671274230585,77.02999877929688
2011-09-21,91.806875324471,-0.029458267454439357,83.8942755716709,-0.02572883737267262,49.1337524357343,-0.017388218594748373,85.77,226.889,0.08,114.26,3.78,-0.0011364629775330037,-0.015625,,37.31999969482422,27.756114959716797,-0.029418710954593585,77.33999633789062
2011-09-22,88.839269048442,-0.03232444482551711,80.9604333975557,-0.03497070752591236,47.5367723999033,-0.032502708559046245,80.29,226.889,0.08,109.21,3.72,-0.044197444424995735,-0.015873015873015817,,41.349998474121094,26.507518768310547,-0.04498454460281531,78.37999725341797
2011-09-23,89.374540206983,0.006025163919900267,81.2477684558453,0.0035490800410942214,48.0424827445831,0.01063829787233983,79.58,226.889,0.08,109.17,3.74,-0.000366266825382211,0.005376344086021501,,41.25,26.727863311767578,0.008312529942276159,78.30000305175781
2011-09-26,91.4998815717783,0.023780165580412627,83.3574126996034,0.025965565379246103,48.601425757124,0.01163434903047178,79.97,226.889,0.08,107.9,3.8,-0.011633232573051155,0.016042780748662944,,39.02000045776367,27.10844612121582,0.014239178231680194,78.36000061035156
2011-09-27,92.5231940807538,0.011183757742601497,84.4689456882501,0.013334542815674366,49.1071361018038,0.010405257393208744,84.18,226.889,0.08,109.54,3.92,0.015199258572752505,0.03157894736842115,,37.709999084472656,27.84292221069336,0.02709399447660399,77.51000213623047
2011-09-28,90.6340017564913,-0.02041858090862725,83.0473932946067,-0.016829290126219032,48.3796229743697,-0.01481481481481417,80.94,226.889,0.08,108.52,3.88,-0.009311666970969634,-0.010204081632653073,,41.08000183105469,27.295392990112305,-0.019664933746457502,77.8499984741211
2011-09-29,91.3503205127742,0.00790342192114002,84.2194178744723,0.014112719657652484,47.8029357392085,-0.011920044012470266,81.87,226.889,0.08,107.08,3.77,-0.013269443420567573,-0.028350515463917536,,38.84000015258789,27.86294174194336,0.02079284046346741,77.91999816894531
2011-09-30,89.0675464542904,-0.02498922878069809,82.3668628933944,-0.02199676782187099,46.5697122670945,-0.025798069784707667,78.93,226.889,0.06,105.42,3.68,-0.01550242809114677,-0.023872679045092826,,42.959999084472656,26.914813995361328,-0.034028271507124175,78.55000305175781
2011-10-03,86.5328800859049,-0.02845779938135251,80.4235705254882,-0.023593133204810268,45.3719772402213,-0.025719184606590506,77.34,226.421,0.08,103.61,3.57,-0.017169417567823975,-0.029891304347826164,,45.45000076293945,26.106901168823242,-0.03001740330352376,79.44999694824219
2011-10-04,88.4299440448518,0.021923041935777432,81.451927576209,0.012786761940579261,46.3035489277893,0.020531873289008518,75.4,226.421,0.07,101.84,3.56,-0.017083293118424825,-0.0028011204481792618,,40.81999969482422,26.40736198425293,0.011508865548106373,79.5999984741211
2011-10-05,90.0672440592126,0.018515221648566893,82.631513604977,0.014481990345340146,47.4924118433524,0.02567541674650342,79.41,226.421,0.07,103.77,3.63,0.018951296150824692,0.0196629213483146,,37.810001373291016,26.861398696899414,0.017193565677527056,78.91000366210938
2011-10-06,91.696672438889,0.018091242789722406,84.0001358563039,0.016562957540263046,48.2909018612679,0.0168130020549222,82.32,226.421,0.07,104.38,3.49,0.005878384889659749,-0.038567493112947604,,36.27000045776367,27.71604347229004,0.031816838171173645,78.52999877929688
2011-10-07,91.0826849335037,-0.0066958537213493985,83.9472057139874,-0.00063011972274718,47.9715058541017,-0.0066139996325554895,82.7,226.421,0.07,106.56,3.4,0.020885227054991518,-0.025787965616045905,,36.20000076293945,27.48903465270996,-0.008190520404077084,78.72000122070312
